network_SNR redshift mass_1 mass_2 luminosity_distance theta_jn ra dec psi phase geocent_time a_1 a_2 err_mass_1 err_mass_2 err_luminosity_distance err_theta_jn err_dec err_ra err_psi err_phase err_geocent_time err_a_1 err_a_2 err_sky_location
458.8453613288985 1.394E-02 1.934E+00 1.504E+00 6.242E+01 1.755E+00 3.628E+00 5.411E-01 3.759E-01 5.817E+00 1.602E+09 9.859E-02 8.537E-02 1.326E-02 9.807E-03 1.408E+00 1.859E-03 2.299E-02 5.005E-02 3.216E-02 9.009E-03 4.889E-04 6.384E-02 8.523E-02 3.074E-03
52.99127897160514 9.333E-02 2.306E+00 1.307E+00 4.421E+02 2.188E+00 1.231E+00 -3.039E-01 1.887E+00 2.134E+00 1.594E+09 1.771E-02 4.986E-02 6.129E-02 3.107E-02 1.024E+02 2.388E-01 5.481E-02 4.307E-02 2.840E-01 6.052E-01 1.067E-03 2.563E-01 4.907E-01 7.075E-03
109.24352324402932 3.563E-02 2.083E+00 1.738E+00 1.621E+02 1.354E+00 2.270E-01 -2.332E-01 2.123E+00 5.833E+00 1.584E+09 2.537E-02 3.309E-02 5.858E-02 4.713E-02 7.390E+00 2.936E-02 2.185E-02 4.617E-02 3.431E-02 5.744E-02 7.859E-04 2.963E-01 3.642E-01 2.885E-03
98.56893244834606 6.703E-02 1.536E+00 1.458E+00 3.119E+02 1.013E+00 2.600E+00 1.007E+00 2.482E+00 3.746E+00 1.599E+09 8.727E-03 4.200E-03 1.553E-04 1.444E-04 3.196E+01 6.482E-02 9.120E-02 1.463E-01 2.146E-01 1.259E-01 1.182E-03 5.482E-01 5.841E-01 2.096E-02
85.39917139960767 8.097E-02 2.339E+00 1.696E+00 3.804E+02 1.542E+00 1.068E+00 2.775E-01 7.578E-01 1.870E+00 1.607E+09 6.357E-02 6.672E-02 7.481E-02 5.085E-02 3.179E+01 5.865E-03 1.855E-01 2.453E-01 1.184E-01 5.298E-02 1.584E-03 2.741E-01 3.947E-01 1.325E-01
196.82584245840974 2.801E-02 1.705E+00 1.343E+00 1.268E+02 1.476E+00 3.948E+00 1.469E-01 2.975E+00 5.627E+00 1.584E+09 8.009E-02 5.785E-02 2.442E-02 1.833E-02 6.146E+00 2.878E-03 9.339E-02 4.908E-02 2.441E-02 1.920E-02 1.042E-03 1.582E-01 2.089E-01 1.354E-02
67.23801416124935 6.033E-02 1.883E+00 1.586E+00 2.794E+02 1.771E+00 3.532E+00 3.118E-01 4.736E-01 3.099E+00 1.589E+09 6.641E-02 4.309E-02 1.747E-04 1.385E-04 4.254E+01 1.734E-02 1.204E-01 1.410E-01 1.402E-02 8.941E-02 1.831E-03 2.629E-01 3.247E-01 3.626E-02
142.36922020685387 5.138E-02 2.141E+00 1.527E+00 2.365E+02 1.832E+00 2.196E+00 9.080E-01 1.282E+00 5.395E+00 1.599E+09 5.327E-03 1.415E-02 3.522E-02 2.348E-02 1.189E+01 6.529E-03 1.249E-01 1.449E-01 1.203E-01 3.297E-02 1.015E-03 1.635E-01 2.402E-01 3.499E-02
88.29418048050546 8.950E-02 2.202E+00 2.182E+00 4.229E+02 1.247E+00 1.335E+00 1.446E+00 3.055E+00 3.518E+00 1.605E+09 8.210E-02 3.795E-02 1.633E-04 1.605E-04 1.239E+02 4.162E-02 4.711E-01 1.204E+00 1.128E+00 9.104E-02 6.591E-03 5.632E-01 5.693E-01 2.171E-01
97.24511117351538 8.570E-02 2.187E+00 1.727E+00 4.039E+02 2.085E+00 2.473E+00 1.512E+00 3.048E+00 5.164E+00 1.592E+09 6.918E-02 1.147E-02 7.592E-02 5.720E-02 9.150E+01 6.639E-02 1.315E-01 3.110E+00 3.086E+00 1.210E-01 2.628E-03 3.309E-01 4.351E-01 7.289E-02
