dur,imx,imy,ndets,solid_angle,timeID,time,A,Epeak,gamma,nllh,bkg_nllh,TS
0.256,0.98,0.32,8972,9132.761152463234,-76160256,785996570.75834,0.0014878053098372243,1000.0,0.9135234492822997,63.973514442672645,67.1167938740896,2.5073011113214743
0.256,0.98,0.32,8972,9132.761152463234,-76800256,785996570.6943401,0.0015328761955574908,1000.0,0.48371571020701326,57.3640112320241,60.72565962641495,2.5929320833337903
0.256,0.98,0.32,8972,9132.761152463234,-67840256,785996571.59034,0.0017683294879459854,1000.0,0.04970755356099263,71.40637042682923,77.48169890488067,3.485779246610848
0.256,0.98,0.32,8972,9132.761152463234,-67200256,785996571.65434,0.0017640325217791572,1000.0,0.6477089335686564,67.24702894125528,71.66226234192247,2.97161013616093
0.256,0.98,0.32,8972,9132.761152463234,-16000256,785996576.77434,0.005600131102384411,231.1209678849392,-0.1,59.67118865682383,65.21300042567151,3.3292076441242533
0.256,0.98,0.32,8972,9132.761152463234,-15360256,785996576.83834,0.0032144237999343216,277.11526705621793,0.23078641684530743,57.94227955218791,61.501821142492126,2.66816101099773
0.256,0.98,0.32,8972,9132.761152463234,-11520256,785996577.2223401,0.0017472896589992542,1000.0,-0.1,60.15401524217355,67.02025707153163,3.7057365878750965
0.256,0.98,0.32,8972,9132.761152463234,-12160256,785996577.1583401,0.0021745799586607942,1000.0,0.46725680790439617,57.70495713835243,64.69121141569588,3.737981882605492
0.256,0.98,0.32,8972,9132.761152463234,-14720256,785996576.90234,0.0020428303972226942,382.356010663211,0.4394831243585347,56.9358839161098,59.51811148110795,2.2725437575537017
0.256,0.98,0.32,8972,9132.761152463234,-1280256,785996578.24634,0.0032164760234128105,1000.0,0.6185674726392718,68.50764544102105,82.68216889609361,5.324382303154528
0.256,0.98,0.32,8972,9132.761152463234,-1920256,785996578.18234,0.005273066095474582,433.8077943561665,0.005371081438863487,63.813157988017906,80.44218466325978,5.766979569105803
0.256,0.98,0.32,8972,9132.761152463234,-640256,785996578.31034,0.0028157042464391165,1000.0,-0.1,67.89646569481172,85.67073786070455,5.962260002028228
0.256,0.98,0.32,8972,9132.761152463234,1280256,785996578.5023401,0.0035144238758033773,1000.0,0.5445106928159147,56.17526376954295,73.98724530886214,5.968581328811595
0.256,0.98,0.32,8972,9132.761152463234,8960256,785996579.2703401,0.00405979444767825,515.0986218216215,0.1172136066253051,60.44567681285125,72.94735096039847,5.000334818299114
0.256,0.98,0.32,8972,9132.761152463234,640256,785996578.4383401,0.0030165444467722922,1000.0,0.14598159085922255,56.94777612347617,73.42764420218285,5.741057059236858
0.256,0.98,0.32,8972,9132.761152463234,14720256,785996579.8463401,0.0056365043521115045,569.9733422307913,-0.1,69.52109721969727,98.0016539428876,7.547258670959984
0.256,0.98,0.32,8972,9132.761152463234,14080256,785996579.78234,0.0052779050393513055,552.2459535794014,-0.1,64.75482386256763,89.45152972939536,7.028044659338432
0.256,0.98,0.32,8972,9132.761152463234,18560256,785996580.23034,0.005428208246597215,768.9867060536628,-0.1,62.69914967324393,109.80377864918468,9.70614537042803
0.256,0.98,0.32,8972,9132.761152463234,19840256,785996580.35834,0.004069299928839724,909.678313399982,-0.1,64.38895029256284,96.97787994675195,8.073280579069344
0.256,0.98,0.32,8972,9132.761152463234,19200256,785996580.29434,0.004863143273335159,838.393623741955,-0.1,61.962839662306386,104.68009779669941,9.2430793715507
0.256,0.98,0.32,8972,9132.761152463234,21120256,785996580.48634,0.0052700197159222355,477.4151588978345,-0.1,65.68520480234828,85.09543793722497,6.230607215171999
0.256,0.98,0.32,8972,9132.761152463234,21760256,785996580.55034,0.0051360807985013435,425.2237977709218,-0.1,64.89265206811965,79.97254070632295,5.491791809273782
0.256,0.98,0.32,8972,9132.761152463234,22400256,785996580.6143401,0.004358751117742717,500.6643167662307,-0.1,65.63516544535997,80.28433761359884,5.412794503440688
0.256,0.98,0.32,8972,9132.761152463234,28160256,785996581.19034,0.0013585105941692115,1000.0,-0.1,58.63403940511053,62.73736249217143,2.8647244499465914
0.256,0.98,0.32,8972,9132.761152463234,27520256,785996581.12634,0.0017792005879604352,1000.0,0.21182313830340274,57.50595957021949,62.87490788305767,3.276872995048232
0.256,0.98,0.32,8972,9132.761152463234,28800256,785996581.25434,0.0012406348812940024,1000.0,-0.1,57.03283723962251,60.56260753667561,2.6569795998663963
0.256,0.98,0.32,8972,9132.761152463234,46720256,785996583.0463401,0.0005842164198975568,1000.0,2.1,58.472192103068664,61.57365341614618,2.4905667279065278
0.256,0.98,0.32,8972,9132.761152463234,47360256,785996583.11034,0.0009769930820236199,1000.0,1.87965997427578,61.044663375051876,66.18068556447665,3.2050030232200317
0.256,0.98,0.32,8972,9132.761152463234,81280256,785996586.5023401,0.0027876483246357573,1000.0,0.6181230828474475,60.84210748651677,71.83451939596694,4.688797694388225
0.256,0.98,0.32,8972,9132.761152463234,80640256,785996586.4383401,0.0021492464663607686,1000.0,0.7732132652278896,59.39509649816489,65.78429810983312,3.574689248499295
0.256,0.98,0.32,8972,9132.761152463234,78720256,785996586.24634,0.0016986886665031503,1000.0,-0.1,59.09864970733937,65.4814423796021,3.5728959325070555
0.256,0.98,0.32,8972,9132.761152463234,81920256,785996586.5663401,0.00277459930854688,874.6998622228151,-0.08868275205735877,59.32455374203557,74.14948249672324,5.4451682719063275
0.256,0.98,0.32,8972,9132.761152463234,82560256,785996586.6303401,0.002375415953931907,992.104933355271,-0.1,56.673999823511245,69.42979094026165,5.050899150992902
0.256,0.98,0.32,8972,9132.761152463234,90240256,785996587.3983401,0.00437975676652172,389.2544553733323,-0.1,59.59201818561785,68.70981464654373,4.270315318785226
0.256,0.98,0.32,8972,9132.761152463234,90880256,785996587.4623401,0.004877750513685776,357.04421530591645,-0.1,58.13734155771779,67.79344263685877,4.394565070434384
0.256,0.98,0.32,8972,9132.761152463234,96000256,785996587.9743401,0.004434686069107263,408.4761143021592,-0.1,64.31887339564419,74.86153565712202,4.59187592634597
0.512,0.98,0.32,8972,9132.761152463234,-79360512,785996570.4383401,0.0010833446843288295,1000.0,-0.1,65.63206783977441,70.96597523845887,3.2661620898799435
0.512,0.98,0.32,8972,9132.761152463234,-70400512,785996571.3343401,0.001156608099182022,1000.0,0.16598918762121795,65.54436937740266,70.21568043049552,3.0565703175594914
0.512,0.98,0.32,8972,9132.761152463234,-67840512,785996571.59034,0.0009663550924142851,1000.0,0.027064756025980175,74.94790493668035,78.60466979376184,2.7043538441119344
0.512,0.98,0.32,8972,9132.761152463234,-40960512,785996574.2783401,0.000932011356535126,1000.0,-0.1,67.97113131605491,71.80250367367842,2.7681663091741826
0.512,0.98,0.32,8972,9132.761152463234,-39680512,785996574.40634,0.001301305532608792,864.7300724309537,-0.1,63.32552584470544,69.42398003323598,3.492407246736995
0.512,0.98,0.32,8972,9132.761152463234,-15360512,785996576.83834,0.0014206881933531838,1000.0,0.3820192279583197,66.42436607707131,72.56654974994207,3.504906182159733
0.512,0.98,0.32,8972,9132.761152463234,-14080512,785996576.9663401,0.0012103388771262187,1000.0,0.023165096888689018,67.81337198347535,73.60473856977598,3.4033414716424284
0.512,0.98,0.32,8972,9132.761152463234,-12800512,785996577.0943401,0.0010854642090452602,986.8229288979737,-0.1,62.96321310528444,68.19471928259043,3.234657996544917
0.512,0.98,0.32,8972,9132.761152463234,-1280512,785996578.24634,0.003413217339334699,1000.0,0.5715522740388117,72.11065656038815,104.65577642856755,8.06785223813369
0.512,0.98,0.32,8972,9132.761152463234,-2560512,785996578.11834,0.003163453561887493,897.3857775790474,0.13939374550056147,69.94810720310373,101.64563355629431,7.962101023371982
0.512,0.98,0.32,8972,9132.761152463234,-5120512,785996577.8623401,0.00524430268716263,384.7206951627676,-0.1,73.33245331337369,100.13028128498402,7.32090540460814
0.512,0.98,0.32,8972,9132.761152463234,1280512,785996578.5023401,0.003532450604268121,638.3057563683034,-0.1,68.0301161204278,95.81929706830218,7.4550896638302575
0.512,0.98,0.32,8972,9132.761152463234,19200512,785996580.29434,0.005106796382792066,594.6913545497575,-0.1,74.47397636961833,128.11408575104167,10.357616461466735
0.512,0.98,0.32,8972,9132.761152463234,16640512,785996580.0383401,0.004167770503474635,729.2589466228086,-0.1,70.30923780763808,119.41338420756192,9.91000972753547
0.512,0.98,0.32,8972,9132.761152463234,17920512,785996580.1663401,0.004569670393519068,618.6807763893461,-0.1,74.92159061505811,120.42556235230504,9.539808356277073
0.512,0.98,0.32,8972,9132.761152463234,21760512,785996580.55034,0.0034661526558113676,580.5093345395428,-0.1,73.97503871439739,97.11649018426164,6.803153896519503
0.512,0.98,0.32,8972,9132.761152463234,25600512,785996580.93434,0.001943751348871685,1000.0,-0.1,70.74127491678794,87.49531899157776,5.78861711893088
0.512,0.98,0.32,8972,9132.761152463234,23040512,785996580.6783401,0.002836851658470732,679.7085409013471,-0.1,72.63358250704486,92.93854439112144,6.372591605316722
0.512,0.98,0.32,8972,9132.761152463234,44800512,785996582.8543401,0.0006597070595028316,1000.0,1.8130016070500907,64.19698889640138,68.25628138270376,2.8493130703039222
0.512,0.98,0.32,8972,9132.761152463234,43520512,785996582.72634,0.00044590717020727845,991.8155294156056,2.004298151375097,66.30323087855402,69.15179486236464,2.386865720483924
0.512,0.98,0.32,8972,9132.761152463234,52480512,785996583.6223401,0.0006145486917087523,1000.0,1.702036211716444,68.83885161588012,71.62964448482455,2.3625379865493956
0.512,0.98,0.32,8972,9132.761152463234,79360512,785996586.31034,0.0018682365541586353,1000.0,-0.028092940565637183,65.47424152362825,79.70355957329423,5.3346636350694085
0.512,0.98,0.32,8972,9132.761152463234,78080512,785996586.18234,0.0019041672973357678,1000.0,0.1579086341064837,66.8903509919495,79.35819465857725,4.993564591877779
0.512,0.98,0.32,8972,9132.761152463234,81920512,785996586.5663401,0.0022104945761149335,756.8090774096503,-0.1,66.11316226913885,80.66542338538812,5.394860724105724
0.512,0.98,0.32,8972,9132.761152463234,90880512,785996587.4623401,0.001755857773145265,737.710418722683,-0.1,65.11901525369348,73.82000817341998,4.171568750416683
0.512,0.98,0.32,8972,9132.761152463234,89600512,785996587.3343401,0.00263199376819755,527.85429939773,-0.1,63.86998225953779,75.22241039973815,4.764961309433763
0.512,0.98,0.32,8972,9132.761152463234,93440512,785996587.71834,0.001657069217193613,847.0132390282572,-0.1,71.09147365701128,80.77546617192218,4.400907296208566
0.512,0.98,0.32,8972,9132.761152463234,94720512,785996587.8463401,0.0015042632328068968,795.6391502265673,-0.1,66.74290214275638,73.9952632587829,3.8085065619023215
0.512,0.98,0.32,8972,9132.761152463234,96000512,785996587.9743401,0.0022680317522345726,665.5501222874685,-0.1,68.41030177112614,80.86142384304304,4.990214839446675
1.024,0.98,0.32,8972,9132.761152463234,-84481024,785996569.9263401,0.0008140161667564013,1000.0,-0.1,71.58877154424636,77.51877234066322,3.443835302803217
1.024,0.98,0.32,8972,9132.761152463234,-43521024,785996574.02234,1e-10,22.077819641943265,-0.1,75.35045644363231,75.35045608542819,0.0
1.024,0.98,0.32,8972,9132.761152463234,-46081024,785996573.76634,1e-10,89.77269492414251,-0.1,75.23530315401794,75.23530295863924,0.0
1.024,0.98,0.32,8972,9132.761152463234,-40961024,785996574.2783401,1e-10,367.69331391619465,-0.1,74.84879564465169,74.84879568337588,0.00027829550986621453
1.024,0.98,0.32,8972,9132.761152463234,-5121024,785996577.8623401,0.004530864566879476,450.29116922377733,-0.1,75.59789160049085,127.21523861367217,10.160447530810965
1.024,0.98,0.32,8972,9132.761152463234,-2561024,785996578.11834,0.003693022517263793,570.3213781130265,-0.1,77.80881299879053,128.7136008495076,10.090073126664352
1.024,0.98,0.32,8972,9132.761152463234,1024,785996578.37434,0.004063758185224149,498.8986141054308,-0.1,76.55200841942546,125.11068150836101,9.854813350737349
1.024,0.98,0.32,8972,9132.761152463234,12801024,785996579.65434,0.0037445510328210202,717.0061642252873,-0.1,83.11930928862404,159.029656360669,12.321554047444257
1.024,0.98,0.32,8972,9132.761152463234,15361024,785996579.9103401,0.003990835907578233,625.8466378472052,-0.1,91.01996210542929,160.3865407981908,11.778504038523865
1.024,0.98,0.32,8972,9132.761152463234,17921024,785996580.1663401,0.0036652645595233835,648.8545026697522,-0.1,84.91405842252217,147.9042793551148,11.22410093794533
1.024,0.98,0.32,8972,9132.761152463234,23041024,785996580.6783401,0.0017503675520029135,851.0855712069392,-0.1,78.87632435815917,100.2151261267594,6.532809773535463
