superevent_id,preferred_event,t_0,pipeline,search,group,far,skymap
S251018bu,G611276,1444839475.627948,gstlal,AllSky,CBC,1.872456337045252e-05,./skymaps/G611276_skymap.fits
S251018bi,G611252,1444836365.020996,pycbc,AllSky,CBC,3.167545842243851e-10,./skymaps/G611252_skymap.fits
S251018bf,G611238,1444835474.177734,spiir,AllSky,CBC,1.531631460238714e-05,./skymaps/G611238_skymap.fits
S251018au,G611207,1444825446.273024,MBTA,AllSky,CBC,4.815786e-06,./skymaps/G611207_skymap.fits
S251017di,G611064,1444770508.105494,gstlal,EarlyWarning,CBC,7.041725023589097e-08,./skymaps/G611064_skymap.fits
S251017db,G611035,1444756079.882981,gstlal,AllSky,CBC,2.150517573994838e-05,./skymaps/G611035_skymap.fits
S251017cz,G611028,1444753870.97998,spiir,AllSky,CBC,1.944743235071655e-05,./skymaps/G611028_skymap.fits
S251017bw,G610962,1444738152.228027,spiir,AllSky,CBC,1.764460648701061e-05,./skymaps/G610962_skymap.fits
S251017at,G610889,1444717849.258545,gstlal,AllSky,CBC,3.766004715607033e-06,./skymaps/G610889_skymap.fits
S251017an,G610865,1444713782.799021,gstlal,AllSky,CBC,1.416516753527403e-05,./skymaps/G610865_skymap.fits
S251017ab,G610829,1444703126.643555,gstlal,AllSky,CBC,1.321800768447603e-05,./skymaps/G610829_skymap.fits
S251017y,G610820,1444702587.056282,gstlal,AllSky,CBC,9.895203447412338e-06,./skymaps/G610820_skymap.fits
S251017p,G610802,1444700602.515716,MBTA,AllSky,CBC,1.578444e-05,./skymaps/G610802_skymap.fits
S251016bg,G610689,1444654814.280363,MBTA,AllSky,CBC,1.899842e-05,./skymaps/G610689_skymap.fits
S251016be,G610685,1444654523.392944,gstlal,AllSky,CBC,2.436164253828867e-07,./skymaps/G610685_skymap.fits
S251016bd,G610675,1444653956.223389,gstlal,AllSky,CBC,1.688984555316343e-05,./skymaps/G610675_skymap.fits
S251015et,G610500,1444602559.240823,MBTA,AllSky,CBC,9.978585e-06,./skymaps/G610500_skymap.fits
S251015ea,G610455,1444592671.181519,gstlal,AllSky,CBC,1.086096480035991e-05,./skymaps/G610455_skymap.fits
S251014dc,G610118,1444505449.269757,MBTA,AllSky,CBC,1.950233e-05,./skymaps/G610118_skymap.fits
S251014cn,G610068,1444476821.373047,pycbc,AllSky,CBC,3.167545842243851e-10,./skymaps/G610068_skymap.fits
S251014ck,G610050,1444476006.475821,gstlal,AllSky,CBC,1.151498880070938e-05,./skymaps/G610050_skymap.fits
